source,triad,mutation_pass,full_pass,false_accept,T,C_dev,quadrant
b1_way1,cg_v01,False,False,False,0.0,0.0,RUNTIME_CRASH
b1_way1,cg_v02,False,False,False,0.0,0.0,RUNTIME_CRASH
b1_way1,cg_v03,False,False,False,0.0,0.0,RUNTIME_CRASH
b1_way1,cg_v04,True,True,False,1.0,1.0,Q1_SURVIVOR
b1_way1,cg_v05,True,True,False,1.0,1.0,Q1_SURVIVOR
b1_way1,cg_w2_drv01,True,True,False,1.0,1.0,Q1_SURVIVOR
b1_way1,cg_w2_drv02,True,True,False,1.0,1.0,Q1_SURVIVOR
b1_way1,cg_w2_drv03,True,True,False,1.0,1.0,Q1_SURVIVOR
b1_way1,cg_w2_drv05,True,True,False,1.0,1.0,Q1_SURVIVOR
b1_way1,cg_w2_sb01,True,True,False,1.0,1.0,Q1_SURVIVOR
b1_way1,cg_w2_sb02,True,True,False,1.0,1.0,Q1_SURVIVOR
b1_way1,cg_w2_sb03,True,True,False,1.0,1.0,Q1_SURVIVOR
b1_way1,cg_w2_sb05,True,True,False,1.0,1.0,Q1_SURVIVOR
b1_way1,cg_w2_seq01,False,False,False,0.0,0.0,RUNTIME_CRASH
b1_way1,cg_w2_seq02,False,False,False,0.0,0.0,RUNTIME_CRASH
b1_way1,cg_w2_seq03,False,False,False,0.0,0.0,RUNTIME_CRASH
b1_way1,cg_w2_seq05,True,True,False,1.0,1.0,Q1_SURVIVOR
b1_way1,gm_v01,False,False,False,0.0,0.0,RUNTIME_CRASH
b1_way1,gm_v02,False,False,False,0.0,0.0,RUNTIME_CRASH
b1_way1,gm_v03,True,True,False,1.0,1.0,Q1_SURVIVOR
b1_way1,gm_v04,True,False,True,0.0,1.0,Q3_FRAGILE
b1_way1,gm_v05,False,False,False,0.0,0.0,RUNTIME_CRASH
b1_way1,gm_w2_drv01,True,True,False,1.0,1.0,Q1_SURVIVOR
b1_way1,gm_w2_drv02,True,True,False,1.0,1.0,Q1_SURVIVOR
b1_way1,gm_w2_drv04,True,True,False,1.0,1.0,Q1_SURVIVOR
b1_way1,gm_w2_drv05,True,True,False,1.0,1.0,Q1_SURVIVOR
b1_way1,gm_w2_sb01,True,True,False,1.0,1.0,Q1_SURVIVOR
b1_way1,gm_w2_sb02,True,True,False,1.0,1.0,Q1_SURVIVOR
